sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
मारुत,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0451|BPN_0948,"वरुण, पित्तल, भेदी-श्लेष्म-कृच्छ्रा-अश्म-मारुतहर, गुल्म-वाता-अस्र-कृमि-उष्ण-अग्निदीपन || दुर्जरा, बृंहणी, बलवर्द्धिनी, विष्टम्भिनी, पित्त-रक्त-पित्ताग्नि-मारुतहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मुखदन्तगदा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0401,कफ-कुष्ठ-क्रिमी-वस्ति-मुखदन्तगदाहर,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मुखरोग,Mukharoga,oral-disease group,mouth disorder|oral disease,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0160|BPN_0380|BPN_0430,"त्वच्य, ज्वर-स्वेद-ग्रहा-लक्ष्मी-मुखरोग-कफा-अनिलहर || दोषत्रयापहा, कर्णा-अक्षि-मुखरोगघ्नी",Broad category,PROVISIONAL_TEST_ONLY,
मुखवैशद्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0369,"मुखवैशद्यकृत्, तृष्णाऽ-अस्र-कफ-पित्तनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मुहुर्मोह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0117,"ग्राहि, वातकृत्, कफकासकृत्, धातुशोषक, मदकृत्, वाग्विवर्धन, मुहुर्मोहकर, रुच्य, सेवनपुंस्त्वनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मूत्रकृच्छ्र,Mutrakrichhra,dysuria,painful urination,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0055|BPN_1093,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || दीपन, ग्राहि, पित्ता-अस्र-शोथ-मेदः-कफप्रद| मूत्रकृच्छ्र-प्रतिश्याय-शीतग-विषमज्वर-अतीसार-अरुचि-कार्ये शस्यते| बल-शुक्रकृत्",Symptom/category,PROVISIONAL_TEST_ONLY,
मूर्च्छा,Murchha,fainting / syncope-like state,syncope|fainting,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0069|BPN_0149|BPN_0296|BPN_0540|BPN_0562|BPN_0564|BPN_0602|BPN_1003|BPN_1025|BPN_1028,"बल्या, त्रिदोषघ्नी, शुक्ला, प्राणैश्वर्यकरी, मूर्च्छा-रक्त-पित्त-विनाशिनी || कर्ण-कण्ठा-अक्षिरोगक्षोहर, कफा-अनिल-स्वेद-दाह-कास-मूर्च्छा-व्रणापह",Urgent biomedical causes must be excluded,PROVISIONAL_TEST_ONLY,
मृदु,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0090,"मृदुकृत्, तृष्णा-अतीसार-पित्ता-अस्र-विष-क्रिमि-विसर्पजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मेदो,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0420|BPN_0429,"वर्ण्य, योनिरोग-व्रणापहा, मेदोघ्न, विसर्प-आमयनाशन, शोथ-पित्त-कफा-अस्रघ्न, स्तन्या, भग्नास्थियोजक || दन्त्य, कण्डू-कासा-अरुचि-प्रणुत्, मेदोघ्न, कृमि-मेह-ज्वर-व्रणापह, श्वित्र-शोथा-आम-पित्ता-अस्र-पाण्डु-कुष्ठ-कफहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मेदोविष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0440,"भूतग्रह-श्लेष्म-कर्णरुक्-पित्त-रक्त-जित्, राक्षसघ्न, मेदोविषहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मेधा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0300|BPN_0929,"वात-कफा-पहा, मेधाकृत्, विषदोषघ्नी, गुल्म-शूलो-उदरव्याधि-कुष्ठदोष-निकृन्तनी, पाचन, शोथनाशिनी || मेधाकृत्, मेद-क्षयकर, वात-पित्तकर, रुचिकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मेह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0933,"वृष्य, पुष्टिकर, कफमेदप्रद, बल्य, ग्लानिकृत्-मेहनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मेहरोग,Meharoga,urinary disorder,urinary disease,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Broad category,PROVISIONAL_TEST_ONLY,
यकृत्छिरो,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
योनिकर्णगदा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0423,व्रण-स्वेद-कफ-क्रिमी-ब्रध्न-विद्रधि-बाधिर्य-योनिकर्णगदाहर,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
योनिदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0411,"ग्राही, कफ-पित्त-व्रणापह, वर्ण्य, विसर्पदाहघ्न, योनिदोषहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
योनिसङ्कोच,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0649,"वात-पित्त-कफ-व्रणापह, श्वित्र-वीसर्पहर, योनिसङ्कोचकारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
रक्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0179|BPN_0197|BPN_0233|BPN_0246|BPN_0278|BPN_0281|BPN_0358|BPN_0487|BPN_0576|BPN_0662|BPN_0734|BPN_0973,"हृद्य, कफपित्तहर, कण्डू-कुष्ठा-अश्मरी-दाह-विषहृद्, गुद-रक्तहृत् || स्वाद्वी, वृष्या, निखिलदोषनुत्, कुष्ठ-कण्डू-विष-स्वेद-दाहाश्री-ज्वर-रक्तहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
रक्तपित्त,Raktapitta,classical bleeding disorder,bleeding tendency|hemorrhagic disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0763|BPN_0770|BPN_0771,"श्लेष्मला, वातपित्तनुत्, अकण्ठ्या, पिच्छिला, निद्राशुक्रदा, रक्तपित्तजित्, बलदा, रुचिकृत्, पथ्या, बृंहणी, तृप्तिकारिणी || सर, रुच्य, वातकृत्, कफशोथहृत्, बल्य, रुचिकर, मेध्य, रक्तपित्तहर",Broad classical category,PROVISIONAL_TEST_ONLY,
रक्षो,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0158|BPN_0183|BPN_0189,"सर, पित्तल, वात-मूर्द्धा-अक्षि-स्वर-रोग-कफापह, रक्षोघ्न, स्वेद-दौर्गन्ध-यूका-कण्डू-व्रणप्रणुत् || स्वाद्वी, पित्ता-अनिलापहा, ज्वरासृग्भूत-रक्षोघ्नी, कुष्ठ-कास-विनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
राक्षस,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0440,"भूतग्रह-श्लेष्म-कर्णरुक्-पित्त-रक्त-जित्, राक्षसघ्न, मेदोविषहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
राजयक्ष्मा,Rajayakshma,consumptive syndrome,tuberculosis-like wasting disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Not automatically microbiologically confirmed tuberculosis,PROVISIONAL_TEST_ONLY,
रुक्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0263,"दाह-शोथा-आर्शो-योनि-रुक्प्रणुत्, वीसर्प-कृच्छ्रा-अस्र-पित्ता-अश्मरि-कफा-अनिलापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
रुचिवर्ण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0163,"रुचिवर्णकृत्, कफ-कास-वमि-श्वास-तृष्णा-कृमि-विषापहा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
रुज,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0030,"दीपनी, कफवातनुत्, विदाहिनी, हृद्या, वृष्या, बलकरी, नेत्रामय-कृमिच्छर्दि-हिक्का-बस्ति-रुजहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
रोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0930,"शुक्रदा, कफ-वातजित्, स्निग्ध-आस्य-कण्ठ-रोगघ्नी, रोचनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
र्वमीन्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0086,कफ-वात-क्षय-ज्वर-श्वासो-उर्ध्व-वात-तृट्कास-हिक्काऽ-अरुचि-र्वमीन्हर,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
लोहसूचीद्रवत्व,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0581,"भेदन, दीपन, हृद्रोग-शूल-गुल्मघ्न, पित्तल, लोमहर्षण, विण्मूत्रदोषघ्न, प्लीहोदावर्त्तनाशन, हिक्का-आनाह-अरुचि-श्वास-कासा-अजीर्ण-वमिप्रणुत्, कफवातामयध्वंसिच्छागमांसद्रवत्वकृत्, लोहसूचीद्रवत्वकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वमि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0137|BPN_0172|BPN_0581,"कफक्षयकर, कुष्ठ-कण्डू-वमिहर || शिरोरुग्व्रणजन्तुजित्, वमिहर, वर्ज्य, व्यङ्गदोषत्रयापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वस्तिप्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1112,"स्वादु, वृष्य-वात-वह्निप्रणाशन, वस्तिप्रशमन, पित्तश्लेष्मविवर्द्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वह्नि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0026|BPN_0053|BPN_0114|BPN_0131|BPN_0488|BPN_0723|BPN_0834|BPN_0903|BPN_0944|BPN_0987|BPN_1040|BPN_1041|BPN_1058|BPN_1112,"वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत् || वह्निकर, शूल-अध्मान-उदर-श्लेष्म-कृमि-वात-विबन्धनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वह्निदीप्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0049|BPN_1006,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी || अत्यम्ल, वातनाशन, वह्निदीप्तिकर, रुच्य, समस्ताहारपाचक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वह्निमान्द्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0135,"दीपन, पाचन, शूल-गुल्म-विबन्धा-आम-वात-श्लेष्महर, वमि-तृष्णा-आस्यवैरस्य-हृत्पीडा-वह्निमान्द्यहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वह्निवृद्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1091,"त्रिदोषघ्न, रोचन, बलवर्द्धन, वह्निवृद्धिकर, वृष्य, सद्यस्तृप्तिकर, अतीसार-अग्निमान्द्य-ज्वर-जीर्ण-प्रशस्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वाग्वि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0117,"ग्राहि, वातकृत्, कफकासकृत्, धातुशोषक, मदकृत्, वाग्विवर्धन, मुहुर्मोहकर, रुच्य, सेवनपुंस्त्वनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वाजिगुण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0744,"भग्नसन्धानवातकृत्, बृंहणी, श्लेष्महर, वाजिगुणकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वाजी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1066,"वात-पित्तहर, सर, सद्यः शुक्रकर, शीत, सर्वशरीरिणां सात्म्य, जीवन, बृंहण, बल्य, मेध्य, वाजीकर, वयःस्थापन, आयुष्य, सन्धिकारि, रसायन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0014|BPN_0020|BPN_0026|BPN_0081|BPN_0117|BPN_0121|BPN_0166|BPN_0167|BPN_0208|BPN_0236|BPN_0237|BPN_0246|BPN_0258|BPN_0262|BPN_0264|BPN_0271|BPN_0288|BPN_0316|BPN_0344|BPN_0360|BPN_0372|BPN_0404|BPN_0406|BPN_0435|BPN_0465|BPN_0466|BPN_0467|BPN_0469|BPN_0470|BPN_0477|BPN_0479|BPN_0518|BPN_0542|BPN_0565|BPN_0577|BPN_0721|BPN_0735|BPN_0743|BPN_0750|BPN_0754|BPN_0770|BPN_0771|BPN_0775|BPN_0777|BPN_0790|BPN_0791|BPN_0862|BPN_0863|BPN_0887|BPN_0891|BPN_0902|BPN_0903|BPN_0913|BPN_0914|BPN_0916|BPN_0921|BPN_0922|BPN_0928|BPN_0930|BPN_0956|BPN_0969|BPN_0984|BPN_0999|BPN_1005|BPN_1006|BPN_1022|BPN_1035|BPN_1048,"रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा || दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वातकृच्छ्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0056,"बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वातपित्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0131|BPN_1054,"वह्निकृत्, कफहृत्, वातपित्तकृत् || कफकृत्, वातपित्तहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वातरक्त,Vatarakta,gout-like Vata-Rakta disorder,gout,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Not automatically laboratory-confirmed gout,PROVISIONAL_TEST_ONLY,
वातव्याधि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0901,"हृद्य, वृष्य, श्रमापह, पित्त-श्लेष्मकर, किञ्चिद्-वातव्याधिविनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वाताति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0733,"कफ-पित्तहर, रुच्य, ग्राहक, खञ्जत्व-पङ्गुत्वकारी, वातातिकोपन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वान्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0176|BPN_0405,"पाचन, वान्तिहृत्, स्तम्भन, ज्वरनुद्, भ्रान्ति-मद-जित् कफपित्तहृत्, तृष्णाऽ-अस्र-विष-वीसर्प-कृच्छ्र-दाह-व्रणापह || विष-पित्ता-अस्र-तृष्णा-वान्तिहरी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वान्तिवह्नि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0043,"उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विकार,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1040|BPN_1041,"पित्त-रक्ता-आमयान्वित, पित्तनुत्, वह्निकृत्, कफहृत्, पथ्य, विकारहर || वात-श्लेष्मा-आमयान्वित, अभिष्यन्दि, वह्निहृत्, कफकृत्, हृद्य, विकारकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विण्मूत्रदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0581,"भेदन, दीपन, हृद्रोग-शूल-गुल्मघ्न, पित्तल, लोमहर्षण, विण्मूत्रदोषघ्न, प्लीहोदावर्त्तनाशन, हिक्का-आनाह-अरुचि-श्वास-कासा-अजीर्ण-वमिप्रणुत्, कफवातामयध्वंसिच्छागमांसद्रवत्वकृत्, लोहसूचीद्रवत्वकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विदाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0246,"दीपन, रोचन, विदाहकृत्, संग्राही, शुक्रल, हृद्य, पित्त-रक्त-प्रकोपण, चक्षुष्य, कफ-वातघ्न, विद्रधि-श्वयथु-क्रिमी-मेदोऽ-अपची-विष-प्लीह-गुल्म-गण्डव्रण-हर, विशेषाद्दाहकृत्, प्लीहा-अनविद्रधि-व्रण-घ्न, पित्त-रक्तहृत्, विशेषाद्दीपन, सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विद्रधि,Vidradhi,abscess-like inflammatory swelling,abscess,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0077|BPN_0246|BPN_0423,"लेखन, वान्तिकृद् -विद्रधिहर, प्रतिश्यायव्रणान्तक, कुष्ठ-कफा-आनाह-शोथ-गुल्म-व्रणापह || दीपन, रोचन, विदाहकृत्, संग्राही, शुक्रल, हृद्य, पित्त-रक्त-प्रकोपण, चक्षुष्य, कफ-वातघ्न, विद्रधि-श्वयथु-क्रिमी-मेदोऽ-अपची-विष-प्लीह-गुल्म-गण्डव्रण-हर, विशेषाद्दाहकृत्, प्लीहा-अनविद्रधि-व्रण-घ्न, पित्त-रक्तहृत्, विशेषाद्दीपन, सर",Clinical confirmation required,PROVISIONAL_TEST_ONLY,
विबन्ध,Vibandha,constipation / obstruction,constipation,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0043|BPN_0049|BPN_0053|BPN_0125|BPN_0127|BPN_0135|BPN_0148|BPN_0335|BPN_0446|BPN_0479|BPN_0573|BPN_0722|BPN_0934|BPN_0976|BPN_1008|BPN_1025,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",Context dependent,PROVISIONAL_TEST_ONLY,
विबन्धाध्मानशूल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0043,"उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विशेषकास,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0790,"रुच्य, वृष्य, कास-विषा-अस्रनुत्, कफ-वातघ्न, पाचन, कण्ठशोधन, विशेषकासहर, पित्तघ्न, ग्राहक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विशेषविषशान्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0822,"बल्य, पित्तघ्न, रुचिकारक, विशेषविषशान्तिकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विशेषव्यङ्ग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0143,"रक्तचन्दनसमानगुण, विशेषव्यङ्गनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विशेषाद्दाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0145|BPN_0246,"पित्त-श्लेष्म-व्रणा-अस्रनुत्, हरिचन्दनवद्वेद्य, विशेषाद्दाहनाशन || दीपन, रोचन, विदाहकृत्, संग्राही, शुक्रल, हृद्य, पित्त-रक्त-प्रकोपण, चक्षुष्य, कफ-वातघ्न, विद्रधि-श्वयथु-क्रिमी-मेदोऽ-अपची-विष-प्लीह-गुल्म-गण्डव्रण-हर, विशेषाद्दाहकृत्, प्लीहा-अनविद्रधि-व्रण-घ्न, पित्त-रक्तहृत्, विशेषाद्दीपन, सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0196|BPN_0212|BPN_0231|BPN_0242|BPN_0313|BPN_0339|BPN_0350|BPN_0635,"कान्तिद, कफ-पिता-अस्र-वीसर्प-कुष्ठ-कण्डू-विषप्रणुत् || छर्दि-ज्वर-श्वासा-अतिसार-जित्, शोष-दोषत्रयहरी, बृंहणी, रसायनी, विषहरी, क्षतकास-कृमिप्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषक्रिमि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0384,"विषक्रिमिहर, कृच्छ्र-कफ-वाता-अस्र-पित्तजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0300,"वात-कफा-पहा, मेधाकृत्, विषदोषघ्नी, गुल्म-शूलो-उदरव्याधि-कुष्ठदोष-निकृन्तनी, पाचन, शोथनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषपित्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0057,"चक्षुष्य, लेखन, विषपित्तघ्न, कर्णरुक् -क्कफहृत्सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषमाग्नि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0765,"विष्टम्भी, पित्तनुत्, वात-श्लेष्मकर, रक्त-पित्तनुत्, विषमाग्निजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषव्रण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0198,"शिशिरावर्णकृत्, विषव्रणहरी, कण्डू-कफ-पित्ता-अस्र-कुष्ठनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विषोदर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0616,"रसायन, चक्षुष्य, वस्तिरुक्-कुष्ठ-पाण्डु-मेह-विषोदरहर, अर्शः-शोथ-विष-कण्डू-त्रिदोषनाशक, वृष्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विष्टम्भ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0099|BPN_0387|BPN_0487|BPN_0829,"रसायनी, विष्टम्भहृत्, रुच्या, सरा, श्लेष्मा-अस्र-पित्तनुत्,हृद्या , श्वास-कुष्ठ-मेह-ज्वर-कृमि-प्रणुत्, पित्तल, कुष्ठ-कफा-अनिलहर, || सर, विष्टम्भकृत्, कफ-स्तन्या-अनिलप्रद",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
विसर्प,Visarpa,spreading inflammatory skin disorder,erysipelas-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0090|BPN_0262|BPN_0266|BPN_0278|BPN_0279|BPN_0287|BPN_0329|BPN_0350|BPN_0411|BPN_0418|BPN_0420,"मृदुकृत्, तृष्णा-अतीसार-पित्ता-अस्र-विष-क्रिमि-विसर्पजित् || विसर्प-कफ-पित्ता-अस्र-मूषकाहिविषापह, कृमि-शूला-आम-शोफ-ग्रह-विषापह",Not automatically equivalent to erysipelas,PROVISIONAL_TEST_ONLY,
विसर्पदाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0411,"ग्राही, कफ-पित्त-व्रणापह, वर्ण्य, विसर्पदाहघ्न, योनिदोषहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
